,CINF
1993-06-17,16.38549041748047
1993-06-18,16.1798152923584
1993-06-21,16.248374938964844
1993-06-22,16.1798152923584
1993-06-23,16.796842575073242
1993-06-24,16.796842575073242
1993-06-25,16.69400405883789
1993-06-28,16.48832893371582
1993-06-29,16.214094161987305
1993-06-30,16.1798152923584
1993-07-01,16.1798152923584
1993-07-02,16.07697868347168
1993-07-06,16.111257553100586
1993-07-07,16.316932678222656
1993-07-08,16.28265380859375
1993-07-09,16.316932678222656
1993-07-12,16.1798152923584
1993-07-13,16.316932678222656
1993-07-14,16.316932678222656
1993-07-15,16.111257553100586
1993-07-16,16.04269790649414
1993-07-19,15.974140167236328
1993-07-20,15.974140167236328
1993-07-21,16.1798152923584
1993-07-22,15.9055814743042
1993-07-23,15.974140167236328
1993-07-26,15.631346702575684
1993-07-27,15.768464088439941
1993-07-28,15.631346702575684
1993-07-29,15.631346702575684
1993-07-30,15.974140167236328
1993-08-02,16.316932678222656
1993-08-03,16.659725189208984
1993-08-04,16.625446319580078
1993-08-05,16.48832893371582
1993-08-06,16.522607803344727
1993-08-09,16.45404815673828
1993-08-10,16.419769287109375
1993-08-11,16.522607803344727
1993-08-12,16.45404815673828
1993-08-13,16.248374938964844
1993-08-16,16.248374938964844
1993-08-17,16.38549041748047
1993-08-18,16.38549041748047
1993-08-19,16.38549041748047
1993-08-20,16.28265380859375
1993-08-23,16.38549041748047
1993-08-24,16.1798152923584
1993-08-25,16.1798152923584
1993-08-26,16.38549041748047
1993-08-27,16.38549041748047
1993-08-30,16.214094161987305
1993-08-31,15.974140167236328
1993-09-01,15.974140167236328
1993-09-02,16.008419036865234
1993-09-03,16.04269790649414
1993-09-07,15.974140167236328
1993-09-08,16.111257553100586
1993-09-09,16.38549041748047
1993-09-10,16.659725189208984
1993-09-13,16.591167449951172
1993-09-14,16.522607803344727
1993-09-15,16.111257553100586
1993-09-16,16.316932678222656
1993-09-17,16.248374938964844
1993-09-20,16.145536422729492
1993-09-21,16.214094161987305
1993-09-22,16.145536422729492
1993-09-23,15.871301651000977
1993-09-24,15.66562557220459
1993-09-27,15.631346702575684
1993-09-28,15.562788009643555
1993-09-29,15.768464088439941
1993-09-30,15.562788009643555
1993-10-01,15.562788009643555
1993-10-04,15.562788009643555
1993-10-05,15.597067832946777
1993-10-06,15.631346702575684
1993-10-07,15.631346702575684
1993-10-08,15.631346702575684
1993-10-11,15.768464088439941
1993-10-12,15.83702278137207
1993-10-13,15.83702278137207
1993-10-14,16.111257553100586
1993-10-15,16.214094161987305
1993-10-18,16.04269790649414
1993-10-19,15.83702278137207
1993-10-20,15.631346702575684
1993-10-21,15.699906349182129
1993-10-22,15.9055814743042
1993-10-25,15.9055814743042
1993-10-26,15.974140167236328
1993-10-27,15.768464088439941
1993-10-28,15.974140167236328
1993-10-29,15.9055814743042
1993-11-01,15.768464088439941
1993-11-02,15.974140167236328
1993-11-03,15.9055814743042
1993-11-04,15.802742958068848
1993-11-05,15.734185218811035
1993-11-08,15.83702278137207
1993-11-09,15.974140167236328
1993-11-10,15.699906349182129
1993-11-11,15.66562557220459
1993-11-12,15.357112884521484
1993-11-15,15.082879066467285
1993-11-16,14.53441047668457
1993-11-17,14.397293090820312
1993-11-18,14.465851783752441
1993-11-19,14.53441047668457
1993-11-22,14.260175704956055
1993-11-23,14.294454574584961
