,BATRK
2019-04-09,27.530000686645508
2019-04-10,28.09000015258789
2019-04-11,27.969999313354492
2019-04-12,28.459999084472656
2019-04-15,28.420000076293945
2019-04-16,28.3799991607666
2019-04-17,28.350000381469727
2019-04-18,28.450000762939453
2019-04-22,28.219999313354492
2019-04-23,28.270000457763672
2019-04-24,28.290000915527344
2019-04-25,28.0
2019-04-26,28.25
2019-04-29,28.09000015258789
2019-04-30,28.149999618530273
2019-05-01,27.950000762939453
2019-05-02,27.940000534057617
2019-05-03,28.079999923706055
2019-05-06,28.149999618530273
2019-05-07,27.68000030517578
2019-05-08,27.420000076293945
2019-05-09,27.309999465942383
2019-05-10,27.290000915527344
2019-05-13,26.8799991607666
2019-05-14,26.850000381469727
2019-05-15,27.06999969482422
2019-05-16,27.469999313354492
2019-05-17,27.6299991607666
2019-05-20,27.639999389648438
2019-05-21,27.6200008392334
2019-05-22,27.290000915527344
2019-05-23,26.5
2019-05-24,26.799999237060547
2019-05-28,27.09000015258789
2019-05-29,26.989999771118164
2019-05-30,26.760000228881836
2019-05-31,26.610000610351562
2019-06-03,26.549999237060547
2019-06-04,26.719999313354492
2019-06-05,27.200000762939453
2019-06-06,26.81999969482422
2019-06-07,26.969999313354492
2019-06-10,26.799999237060547
2019-06-11,26.489999771118164
2019-06-12,26.739999771118164
2019-06-13,27.040000915527344
2019-06-14,26.899999618530273
2019-06-17,27.139999389648438
2019-06-18,27.25
2019-06-19,27.209999084472656
2019-06-20,27.079999923706055
2019-06-21,26.899999618530273
2019-06-24,26.75
2019-06-25,26.959999084472656
2019-06-26,26.739999771118164
2019-06-27,27.440000534057617
2019-06-28,27.969999313354492
2019-07-01,28.040000915527344
2019-07-02,27.399999618530273
2019-07-03,27.75
2019-07-05,28.06999969482422
2019-07-08,28.010000228881836
2019-07-09,28.06999969482422
2019-07-10,28.139999389648438
2019-07-11,27.850000381469727
2019-07-12,27.809999465942383
2019-07-15,28.0
2019-07-16,27.969999313354492
2019-07-17,27.860000610351562
2019-07-18,27.93000030517578
2019-07-19,28.229999542236328
2019-07-22,28.15999984741211
2019-07-23,28.25
2019-07-24,28.489999771118164
2019-07-25,28.40999984741211
2019-07-26,28.56999969482422
2019-07-29,28.770000457763672
2019-07-30,28.8799991607666
2019-07-31,28.770000457763672
2019-08-01,28.65999984741211
2019-08-02,28.399999618530273
2019-08-05,28.100000381469727
2019-08-06,28.329999923706055
2019-08-07,28.389999389648438
2019-08-08,28.540000915527344
2019-08-09,28.530000686645508
2019-08-12,28.049999237060547
2019-08-13,28.139999389648438
2019-08-14,27.59000015258789
2019-08-15,27.809999465942383
2019-08-16,28.229999542236328
2019-08-19,28.360000610351562
2019-08-20,28.15999984741211
2019-08-21,28.200000762939453
2019-08-22,27.780000686645508
2019-08-23,27.239999771118164
2019-08-26,27.700000762939453
2019-08-27,27.1299991607666
2019-08-28,27.34000015258789
2019-08-29,27.760000228881836
2019-08-30,27.459999084472656
2019-09-03,27.65999984741211
2019-09-04,27.860000610351562
2019-09-05,28.09000015258789
2019-09-06,27.860000610351562
2019-09-09,27.760000228881836
2019-09-10,27.84000015258789
2019-09-11,28.610000610351562
2019-09-12,29.280000686645508
2019-09-13,29.34000015258789
2019-09-16,29.65999984741211
2019-09-17,29.899999618530273
2019-09-18,29.540000915527344
2019-09-19,29.200000762939453
2019-09-20,28.760000228881836
2019-09-23,28.6200008392334
2019-09-24,28.200000762939453
2019-09-25,28.219999313354492
2019-09-26,28.06999969482422
2019-09-27,27.860000610351562
2019-09-30,27.75
2019-10-01,27.829999923706055
2019-10-02,27.719999313354492
2019-10-03,27.709999084472656
2019-10-04,27.75
2019-10-07,27.799999237060547
2019-10-08,27.399999618530273
2019-10-09,27.469999313354492
2019-10-10,27.34000015258789
2019-10-11,27.510000228881836
2019-10-14,27.25
2019-10-15,27.350000381469727
2019-10-16,27.31999969482422
2019-10-17,27.770000457763672
2019-10-18,27.670000076293945
2019-10-21,28.049999237060547
2019-10-22,27.75
2019-10-23,27.690000534057617
2019-10-24,27.950000762939453
2019-10-25,28.360000610351562
2019-10-28,29.049999237060547
2019-10-29,29.079999923706055
2019-10-30,29.40999984741211
2019-10-31,29.40999984741211
2019-11-01,29.579999923706055
2019-11-04,29.53499984741211
2019-11-05,29.809999465942383
2019-11-06,29.6299991607666
2019-11-07,29.65999984741211
2019-11-08,29.34000015258789
2019-11-11,28.950000762939453
2019-11-12,28.579999923706055
2019-11-13,27.729999542236328
2019-11-14,28.09000015258789
2019-11-15,27.78499984741211
2019-11-18,27.8799991607666
2019-11-19,27.889999389648438
2019-11-20,27.674999237060547
2019-11-21,27.290000915527344
2019-11-22,27.149999618530273
2019-11-25,27.604999542236328
2019-11-26,27.530000686645508
