,ALPN
2019-02-26,6.360000133514404
2019-02-27,6.960000038146973
2019-02-28,6.76200008392334
2019-03-01,6.679999828338623
2019-03-04,6.949999809265137
2019-03-05,6.809999942779541
2019-03-06,6.75
2019-03-07,6.639999866485596
2019-03-08,6.570000171661377
2019-03-11,7.099999904632568
2019-03-12,6.920000076293945
2019-03-13,7.099999904632568
2019-03-14,6.769999980926514
2019-03-15,6.880000114440918
2019-03-18,7.190000057220459
2019-03-19,6.840000152587891
2019-03-20,7.010000228881836
2019-03-21,6.820000171661377
2019-03-22,6.849999904632568
2019-03-25,6.789999961853027
2019-03-26,6.75
2019-03-27,6.889999866485596
2019-03-28,6.929999828338623
2019-03-29,6.860000133514404
2019-04-01,6.789999961853027
2019-04-02,6.769999980926514
2019-04-03,7.139999866485596
2019-04-04,7.639999866485596
2019-04-05,7.699999809265137
2019-04-08,7.75
2019-04-09,7.550000190734863
2019-04-10,7.460000038146973
2019-04-11,7.5
2019-04-12,7.449999809265137
2019-04-15,7.517000198364258
2019-04-16,7.400000095367432
2019-04-17,7.269999980926514
2019-04-18,7.590000152587891
2019-04-22,7.199999809265137
2019-04-23,6.75
2019-04-24,6.5
2019-04-25,6.570000171661377
2019-04-26,6.485000133514404
2019-04-29,6.46999979019165
2019-04-30,6.360000133514404
2019-05-01,6.394999980926514
2019-05-02,6.320000171661377
2019-05-03,6.239999771118164
