,COMT
2018-03-06,36.86000061035156
2018-03-07,36.47999954223633
2018-03-08,36.29999923706055
2018-03-09,36.709999084472656
2018-03-12,36.61000061035156
2018-03-13,36.540000915527344
2018-03-14,36.529998779296875
2018-03-15,36.400001525878906
2018-03-16,36.68000030517578
2018-03-19,36.349998474121094
2018-03-20,36.59000015258789
2018-03-21,37.220001220703125
2018-03-22,36.560001373291016
2018-03-23,36.75
2018-03-26,36.869998931884766
2018-03-27,36.75
2018-03-28,36.58000183105469
2018-03-29,36.91999816894531
2018-04-02,36.22999954223633
2018-04-03,36.560001373291016
2018-04-04,36.52000045776367
2018-04-05,36.81999969482422
2018-04-06,36.29999923706055
2018-04-09,36.790000915527344
2018-04-10,37.52000045776367
2018-04-11,37.790000915527344
2018-04-12,37.84000015258789
2018-04-13,37.974998474121094
2018-04-16,37.75
2018-04-17,37.83000183105469
2018-04-18,38.56999969482422
2018-04-19,38.369998931884766
2018-04-20,38.34000015258789
2018-04-23,38.45000076293945
2018-04-24,38.130001068115234
2018-04-25,38.25
2018-04-26,38.38999938964844
2018-04-27,38.36000061035156
2018-04-30,38.40999984741211
2018-05-01,38.15999984741211
2018-05-02,38.130001068115234
2018-05-03,38.349998474121094
2018-05-04,38.65999984741211
2018-05-07,38.75
2018-05-08,38.849998474121094
2018-05-09,39.29999923706055
2018-05-10,39.54999923706055
2018-05-11,39.439998626708984
2018-05-14,39.709999084472656
2018-05-15,39.65999984741211
2018-05-16,39.91999816894531
2018-05-17,39.959999084472656
2018-05-18,39.97999954223633
2018-05-21,40.34000015258789
2018-05-22,40.29999923706055
2018-05-23,40.375
2018-05-24,40.040000915527344
2018-05-25,39.40999984741211
2018-05-29,38.900001525878906
2018-05-30,39.5099983215332
2018-05-31,39.279998779296875
2018-06-01,39.040000915527344
2018-06-04,38.689998626708984
2018-06-05,38.79999923706055
2018-06-06,39.099998474121094
2018-06-07,39.29999923706055
2018-06-08,39.2400016784668
2018-06-11,39.18000030517578
2018-06-12,39.209999084472656
2018-06-13,39.25
2018-06-14,38.959999084472656
2018-06-15,38.060001373291016
2018-06-18,38.40999984741211
2018-06-19,37.959999084472656
2018-06-20,37.939998626708984
2018-06-21,37.625
2018-06-22,38.45000076293945
2018-06-25,38.0099983215332
2018-06-26,38.29999923706055
2018-06-27,38.525001525878906
2018-06-28,38.47999954223633
2018-06-29,39.060001373291016
2018-07-02,38.31999969482422
2018-07-03,38.34000015258789
2018-07-05,38.59000015258789
