,CCNC
2019-03-27,1.9889999628067017
2019-03-28,1.940000057220459
2019-03-29,1.7100000381469727
2019-04-01,1.7690000534057617
2019-04-02,1.8899999856948853
2019-04-03,1.8300000429153442
2019-04-04,1.9600000381469727
2019-04-05,1.940000057220459
2019-04-08,1.906999945640564
2019-04-09,1.968000054359436
2019-04-10,1.9149999618530273
2019-04-11,1.8700000047683716
2019-04-12,1.899999976158142
2019-04-15,1.850000023841858
2019-04-16,1.75
2019-04-17,1.8200000524520874
2019-04-18,1.7829999923706055
2019-04-22,1.600000023841858
2019-04-23,1.6100000143051147
2019-04-24,1.6299999952316284
2019-04-25,1.5820000171661377
2019-04-26,1.6319999694824219
2019-04-29,1.7649999856948853
2019-04-30,1.7000000476837158
2019-05-01,1.7000000476837158
2019-05-02,1.7109999656677246
2019-05-03,1.7899999618530273
2019-05-06,1.7799999713897705
2019-05-07,1.7000000476837158
2019-05-08,1.7400000095367432
2019-05-09,1.725000023841858
2019-05-10,1.690000057220459
2019-05-13,1.649999976158142
2019-05-14,1.6699999570846558
2019-05-15,1.7300000190734863
2019-05-16,1.7300000190734863
2019-05-17,1.649999976158142
2019-05-20,1.649999976158142
2019-05-21,1.562999963760376
2019-05-22,1.6200000047683716
2019-05-23,1.5299999713897705
2019-05-24,1.5329999923706055
2019-05-28,1.5499999523162842
2019-05-29,1.5199999809265137
2019-05-30,1.590000033378601
2019-05-31,1.5099999904632568
2019-06-03,1.4769999980926514
2019-06-04,1.5
2019-06-05,1.3849999904632568
2019-06-06,1.3899999856948853
2019-06-07,1.4429999589920044
2019-06-10,1.4800000190734863
2019-06-11,1.3700000047683716
2019-06-12,1.409999966621399
2019-06-13,1.4500000476837158
2019-06-14,1.4800000190734863
2019-06-17,1.4700000286102295
2019-06-18,1.600000023841858
2019-06-19,1.690000057220459
2019-06-20,1.6799999475479126
2019-06-21,1.559999942779541
2019-06-24,1.649999976158142
2019-06-25,1.5
2019-06-26,1.5700000524520874
2019-06-27,1.6299999952316284
2019-06-28,1.4850000143051147
2019-07-01,1.6200000047683716
2019-07-02,1.5210000276565552
2019-07-03,1.4800000190734863
2019-07-05,1.4199999570846558
2019-07-08,1.534999966621399
2019-07-09,1.590000033378601
2019-07-10,1.5829999446868896
2019-07-11,1.590000033378601
2019-07-12,1.5199999809265137
2019-07-15,1.4299999475479126
2019-07-16,1.399999976158142
2019-07-17,1.3300000429153442
2019-07-18,1.350000023841858
2019-07-19,1.3200000524520874
2019-07-22,1.3899999856948853
2019-07-23,1.440000057220459
2019-07-24,1.3300000429153442
2019-07-25,1.2799999713897705
2019-07-26,1.3799999952316284
2019-07-29,1.350000023841858
2019-07-30,1.3860000371932983
2019-07-31,1.309999942779541
2019-08-01,1.309999942779541
2019-08-02,1.25
2019-08-05,1.2899999618530273
2019-08-06,1.149999976158142
2019-08-07,1.2100000381469727
2019-08-08,1.3170000314712524
2019-08-09,1.2599999904632568
2019-08-12,1.3600000143051147
2019-08-13,1.399999976158142
2019-08-14,1.3669999837875366
2019-08-15,1.399999976158142
2019-08-16,1.3799999952316284
2019-08-19,1.3899999856948853
2019-08-20,1.3799999952316284
2019-08-21,1.2999999523162842
2019-08-22,1.2200000286102295
2019-08-23,1.1200000047683716
2019-08-26,1.0399999618530273
2019-08-27,1.0
2019-08-28,1.059999942779541
2019-08-29,1.0800000429153442
2019-08-30,1.0099999904632568
2019-09-03,0.949999988079071
2019-09-04,0.8650000095367432
2019-09-05,0.7900000214576721
2019-09-06,0.8500000238418579
2019-09-09,0.8700000047683716
2019-09-10,0.9599999785423279
2019-09-11,0.8799999952316284
2019-09-12,0.9800000190734863
2019-09-13,0.949999988079071
2019-09-16,0.9800000190734863
2019-09-17,1.0
2019-09-18,0.9599999785423279
2019-09-19,0.8799999952316284
2019-09-20,0.875
2019-09-23,0.9229999780654907
2019-09-24,0.9169999957084656
2019-09-25,0.8999999761581421
2019-09-26,0.8199999928474426
2019-09-27,0.8859999775886536
2019-09-30,0.8679999709129333
2019-10-01,0.8100000023841858
2019-10-02,0.8100000023841858
2019-10-03,0.8199999928474426
2019-10-04,0.8029999732971191
2019-10-07,0.8149999976158142
2019-10-08,0.6980000138282776
2019-10-09,0.8100000023841858
2019-10-10,0.8500000238418579
2019-10-11,0.8600000143051147
