,APEN
2014-03-21,377.29998779296875
2014-03-24,374.989990234375
2014-03-25,371.9100036621094
2014-03-26,369.6000061035156
2014-03-27,372.67999267578125
2014-03-28,365.75
2014-03-31,365.75
2014-04-01,365.75
2014-04-02,366.5199890136719
2014-04-03,349.5799865722656
2014-04-04,331.8699951171875
2014-04-07,338.79998779296875
2014-04-08,358.04998779296875
2014-04-09,358.82000732421875
2014-04-10,351.8900146484375
2014-04-11,331.8699951171875
2014-04-14,325.7099914550781
2014-04-15,327.25
2014-04-16,351.8900146484375
2014-04-17,341.8800048828125
2014-04-21,345.7300109863281
2014-04-22,345.7300109863281
2014-04-23,345.7300109863281
2014-04-24,339.57000732421875
2014-04-25,329.55999755859375
2014-04-28,329.55999755859375
2014-04-29,328.0199890136719
2014-04-30,324.1700134277344
2014-05-01,324.94000244140625
2014-05-02,318.010009765625
2014-05-05,322.6300048828125
2014-05-06,318.7799987792969
2014-05-07,320.32000732421875
2014-05-08,317.239990234375
2014-05-09,321.8599853515625
2014-05-12,323.3999938964844
2014-05-13,321.0899963378906
2014-05-14,317.239990234375
2014-05-15,316.4700012207031
2014-05-16,315.70001220703125
2014-05-19,316.4700012207031
2014-05-20,301.07000732421875
2014-05-21,292.6000061035156
2014-05-22,297.989990234375
2014-05-23,299.5299987792969
2014-05-27,304.9200134277344
2014-05-28,300.29998779296875
2014-05-29,303.3800048828125
2014-05-30,300.29998779296875
2014-06-02,304.9200134277344
2014-06-03,304.1499938964844
2014-06-04,294.9100036621094
2014-06-05,291.05999755859375
2014-06-06,286.44000244140625
2014-06-09,301.07000732421875
2014-06-10,291.05999755859375
2014-06-11,293.3699951171875
2014-06-12,303.3800048828125
2014-06-13,299.5299987792969
2014-06-16,299.5299987792969
2014-06-17,306.4599914550781
2014-06-18,297.989990234375
2014-06-19,291.8299865722656
2014-06-20,290.2900085449219
2014-06-23,291.8299865722656
2014-06-24,297.989990234375
2014-06-25,293.3699951171875
2014-06-26,305.69000244140625
2014-06-27,308.0
2014-06-30,305.69000244140625
2014-07-01,310.30999755859375
2014-07-02,302.6099853515625
2014-07-03,305.69000244140625
2014-07-07,304.1499938964844
2014-07-08,297.2200012207031
2014-07-09,292.6000061035156
2014-07-10,277.9700012207031
2014-07-11,265.6499938964844
2014-07-14,268.7300109863281
2014-07-15,265.6499938964844
2014-07-16,257.95001220703125
2014-07-17,253.3300018310547
2014-07-18,254.10000610351562
2014-07-21,272.5799865722656
2014-07-22,278.739990234375
2014-07-23,285.6700134277344
2014-07-24,295.67999267578125
2014-07-25,287.2099914550781
2014-07-28,288.75
2014-07-29,304.9200134277344
2014-07-30,300.29998779296875
2014-07-31,302.6099853515625
2014-08-01,290.2900085449219
2014-08-04,297.989990234375
2014-08-05,301.07000732421875
2014-08-06,299.5299987792969
2014-08-07,285.6700134277344
2014-08-08,281.04998779296875
2014-08-11,281.82000732421875
2014-08-12,275.6600036621094
2014-08-13,266.4200134277344
2014-08-14,278.739990234375
2014-08-15,257.95001220703125
2014-08-18,254.10000610351562
2014-08-19,234.85000610351562
2014-08-20,235.6199951171875
2014-08-21,241.77999877929688
2014-08-22,247.94000244140625
2014-08-25,264.8800048828125
2014-08-26,261.79998779296875
2014-08-27,261.0299987792969
2014-08-28,261.79998779296875
2014-08-29,261.79998779296875
2014-09-02,261.0299987792969
2014-09-03,258.7200012207031
2014-09-04,258.7200012207031
2014-09-05,254.8699951171875
2014-09-08,259.489990234375
2014-09-09,263.3399963378906
2014-09-10,257.17999267578125
2014-09-11,251.7899932861328
2014-09-12,257.95001220703125
