,FNWB
2019-07-25,16.100000381469727
2019-07-26,16.200000762939453
2019-07-29,16.079999923706055
2019-07-30,16.190000534057617
2019-07-31,16.06999969482422
2019-08-01,16.040000915527344
2019-08-02,16.299999237060547
2019-08-05,16.100000381469727
2019-08-06,16.200000762939453
2019-08-07,16.139999389648438
2019-08-08,16.079999923706055
2019-08-09,16.09000015258789
2019-08-12,16.1200008392334
2019-08-13,16.25
2019-08-14,16.0
2019-08-15,16.09000015258789
2019-08-16,16.209999084472656
2019-08-19,16.299999237060547
2019-08-20,16.280000686645508
2019-08-21,16.110000610351562
2019-08-22,16.110000610351562
2019-08-23,15.869999885559082
2019-08-26,16.299999237060547
2019-08-27,15.960000038146973
2019-08-28,16.010000228881836
2019-08-29,16.0
2019-08-30,15.979999542236328
2019-09-03,15.850000381469727
2019-09-04,15.739999771118164
2019-09-05,16.030000686645508
2019-09-06,16.010000228881836
2019-09-09,16.15999984741211
2019-09-10,16.239999771118164
2019-09-11,16.31999969482422
2019-09-12,16.350000381469727
2019-09-13,16.329999923706055
2019-09-16,16.100000381469727
2019-09-17,16.0
2019-09-18,16.139999389648438
2019-09-19,16.209999084472656
2019-09-20,16.760000228881836
2019-09-23,17.299999237060547
2019-09-24,17.1200008392334
2019-09-25,17.780000686645508
2019-09-26,17.639999389648438
2019-09-27,17.40999984741211
2019-09-30,17.31999969482422
2019-10-01,17.34000015258789
2019-10-02,17.09000015258789
2019-10-03,17.09000015258789
2019-10-04,17.3799991607666
2019-10-07,17.3799991607666
2019-10-08,17.290000915527344
2019-10-09,17.5
2019-10-10,17.059999465942383
2019-10-11,17.3700008392334
2019-10-14,17.420000076293945
2019-10-15,17.440000534057617
2019-10-16,17.360000610351562
2019-10-17,17.530000686645508
2019-10-18,17.520000457763672
2019-10-21,17.8700008392334
2019-10-22,17.809999465942383
2019-10-23,17.600000381469727
2019-10-24,17.290000915527344
2019-10-25,17.309999465942383
2019-10-28,17.360000610351562
2019-10-29,17.3799991607666
2019-10-30,17.530000686645508
2019-10-31,17.56999969482422
2019-11-01,17.8700008392334
2019-11-04,17.950000762939453
2019-11-05,17.969999313354492
2019-11-06,17.600000381469727
2019-11-07,17.579999923706055
2019-11-08,16.959999084472656
2019-11-11,17.09000015258789
2019-11-12,17.239999771118164
2019-11-13,17.6200008392334
2019-11-14,17.549999237060547
2019-11-15,17.34000015258789
2019-11-18,17.520000457763672
2019-11-19,17.75
2019-11-20,17.18000030517578
2019-11-21,16.739999771118164
2019-11-22,16.489999771118164
2019-11-25,17.100000381469727
2019-11-26,17.1299991607666
2019-11-27,17.360000610351562
