,BAB
2019-08-28,33.08000183105469
2019-08-29,32.9900016784668
2019-08-30,32.9900016784668
2019-09-03,32.97999954223633
2019-09-04,33.0
2019-09-05,32.75
2019-09-06,32.790000915527344
2019-09-09,32.58000183105469
2019-09-10,32.27000045776367
2019-09-11,32.15999984741211
2019-09-12,32.04999923706055
2019-09-13,31.84000015258789
2019-09-16,31.950000762939453
2019-09-17,32.06999969482422
2019-09-18,32.08000183105469
2019-09-19,32.18000030517578
2019-09-20,32.33000183105469
2019-09-23,32.31999969482422
2019-09-24,32.439998626708984
2019-09-25,32.2599983215332
2019-09-26,32.290000915527344
2019-09-27,32.31999969482422
2019-09-30,32.400001525878906
2019-10-01,32.439998626708984
2019-10-02,32.5099983215332
2019-10-03,32.619998931884766
2019-10-04,32.75
2019-10-07,32.61000061035156
2019-10-08,32.650001525878906
2019-10-09,32.5
2019-10-10,32.29999923706055
2019-10-11,32.099998474121094
2019-10-14,32.16999816894531
2019-10-15,32.0
2019-10-16,32.04999923706055
2019-10-17,32.0
2019-10-18,31.979999542236328
2019-10-21,31.739999771118164
2019-10-22,31.860000610351562
2019-10-23,31.90999984741211
2019-10-24,31.8799991607666
2019-10-25,31.829999923706055
2019-10-28,31.709999084472656
2019-10-29,31.729999542236328
2019-10-30,31.8799991607666
2019-10-31,32.189998626708984
2019-11-01,32.06999969482422
2019-11-04,31.90999984741211
2019-11-05,31.6200008392334
2019-11-06,31.829999923706055
2019-11-07,31.479999542236328
2019-11-08,31.520000457763672
2019-11-11,31.479999542236328
2019-11-12,31.68000030517578
2019-11-13,31.790000915527344
2019-11-14,31.889999389648438
2019-11-15,31.899999618530273
2019-11-18,31.829999923706055
2019-11-19,31.940000534057617
2019-11-20,32.06999969482422
2019-11-21,32.0099983215332
2019-11-22,31.979999542236328
2019-11-25,32.060001373291016
2019-11-26,32.13999938964844
2019-11-27,32.08000183105469
2019-11-29,31.979999542236328
2019-12-02,31.90999984741211
2019-12-03,32.189998626708984
2019-12-04,32.08000183105469
2019-12-05,32.0099983215332
2019-12-06,31.90999984741211
2019-12-09,31.959999084472656
2019-12-10,31.959999084472656
2019-12-11,32.0
2019-12-12,31.829999923706055
2019-12-13,31.979999542236328
2019-12-16,31.8799991607666
2019-12-17,31.889999389648438
2019-12-18,31.780000686645508
2019-12-19,31.799999237060547
2019-12-20,31.829999923706055
2019-12-23,31.709999084472656
2019-12-24,31.719999313354492
2019-12-26,31.780000686645508
2019-12-27,31.829999923706055
2019-12-30,31.809999465942383
2019-12-31,31.670000076293945
2020-01-02,31.790000915527344
2020-01-03,31.979999542236328
2020-01-06,31.979999542236328
2020-01-07,31.93000030517578
2020-01-08,31.850000381469727
2020-01-09,31.8700008392334
2020-01-10,31.989999771118164
2020-01-13,31.950000762939453
2020-01-14,32.040000915527344
2020-01-15,32.150001525878906
2020-01-16,32.13999938964844
2020-01-17,32.06999969482422
2020-01-21,32.15999984741211
2020-01-22,32.18000030517578
2020-01-23,32.279998779296875
2020-01-24,32.439998626708984
2020-01-27,32.66999816894531
2020-01-28,32.599998474121094
2020-01-29,32.70000076293945
2020-01-30,32.79999923706055
2020-01-31,32.88999938964844
2020-02-03,32.959999084472656
2020-02-04,32.709999084472656
2020-02-05,32.470001220703125
2020-02-06,32.61000061035156
2020-02-07,32.77000045776367
2020-02-10,32.849998474121094
2020-02-11,32.779998779296875
2020-02-12,32.560001373291016
2020-02-13,32.650001525878906
2020-02-14,32.7599983215332
2020-02-18,32.90999984741211
2020-02-19,32.95000076293945
2020-02-20,33.099998474121094
2020-02-21,33.150001525878906
2020-02-24,33.25
2020-02-25,33.400001525878906
2020-02-26,33.27000045776367
2020-02-27,33.439998626708984
2020-02-28,33.630001068115234
2020-03-02,33.720001220703125
2020-03-03,33.810001373291016
2020-03-04,33.779998779296875
2020-03-05,33.91999816894531
2020-03-06,34.630001068115234
2020-03-09,34.63999938964844
2020-03-10,33.880001068115234
2020-03-11,33.36000061035156
2020-03-12,31.479999542236328
2020-03-13,31.65999984741211
2020-03-16,32.099998474121094
2020-03-17,31.15999984741211
2020-03-18,27.1299991607666
2020-03-19,25.010000228881836
2020-03-20,26.299999237060547
2020-03-23,28.280000686645508
2020-03-24,29.600000381469727
2020-03-25,29.579999923706055
2020-03-26,30.190000534057617
2020-03-27,30.149999618530273
2020-03-30,30.969999313354492
2020-03-31,30.899999618530273
2020-04-01,29.899999618530273
2020-04-02,30.739999771118164
2020-04-03,30.510000228881836
2020-04-06,30.850000381469727
2020-04-07,31.030000686645508
2020-04-08,30.739999771118164
2020-04-09,31.56999969482422
2020-04-13,31.229999542236328
2020-04-14,31.299999237060547
2020-04-15,31.6299991607666
2020-04-16,31.889999389648438
2020-04-17,31.540000915527344
2020-04-20,31.639999389648438
2020-04-21,31.860000610351562
2020-04-22,31.770000457763672
2020-04-23,31.8799991607666
2020-04-24,31.809999465942383
2020-04-27,31.760000228881836
2020-04-28,31.950000762939453
2020-04-29,31.84000015258789
2020-04-30,31.600000381469727
2020-05-01,31.75
2020-05-04,31.809999465942383
2020-05-05,31.760000228881836
2020-05-06,31.43000030517578
2020-05-07,31.770000457763672
2020-05-08,31.6299991607666
2020-05-11,31.3700008392334
2020-05-12,31.6299991607666
2020-05-13,31.75
2020-05-14,31.739999771118164
2020-05-15,31.739999771118164
2020-05-18,31.420000076293945
2020-05-19,31.420000076293945
2020-05-20,31.540000915527344
2020-05-21,31.6200008392334
2020-05-22,31.729999542236328
2020-05-26,31.610000610351562
2020-05-27,31.690000534057617
2020-05-28,31.709999084472656
2020-05-29,32.04999923706055
2020-06-01,31.8799991607666
2020-06-02,32.02000045776367
2020-06-03,31.84000015258789
2020-06-04,31.809999465942383
2020-06-05,31.8799991607666
2020-06-08,32.11000061035156
2020-06-09,32.2599983215332
2020-06-10,32.439998626708984
2020-06-11,32.810001373291016
2020-06-12,32.70000076293945
2020-06-15,32.65999984741211
2020-06-16,32.5
2020-06-17,32.58000183105469
2020-06-18,32.75
2020-06-19,32.779998779296875
2020-06-22,32.72999954223633
2020-06-23,32.59000015258789
2020-06-24,32.81999969482422
2020-06-25,32.900001525878906
2020-06-26,33.04999923706055
2020-06-29,32.939998626708984
2020-06-30,32.90999984741211
2020-07-01,32.93000030517578
