,EQRR
2020-06-05,32.77000045776367
2020-06-08,32.869998931884766
2020-06-09,32.34000015258789
2020-06-10,31.709999084472656
2020-06-11,28.961999893188477
2020-06-12,29.239999771118164
2020-06-15,29.239999771118164
2020-06-16,30.520000457763672
2020-06-17,30.329999923706055
2020-06-18,30.209999084472656
2020-06-19,30.40999984741211
2020-06-22,29.968000411987305
2020-06-23,30.100000381469727
2020-06-24,29.209999084472656
2020-06-25,28.770000457763672
2020-06-26,28.389999389648438
2020-06-29,28.84000015258789
2020-06-30,29.549999237060547
2020-07-01,29.110000610351562
2020-07-02,29.770000457763672
2020-07-06,29.770000457763672
2020-07-07,29.40999984741211
2020-07-08,28.950000762939453
2020-07-09,28.950000762939453
2020-07-10,29.040000915527344
2020-07-13,29.040000915527344
2020-07-14,29.610000610351562
2020-07-15,30.170000076293945
2020-07-16,30.170000076293945
2020-07-17,30.170000076293945
2020-07-20,29.920000076293945
2020-07-21,29.920000076293945
2020-07-22,29.920000076293945
2020-07-23,29.920000076293945
2020-07-24,30.739999771118164
2020-07-27,30.559999465942383
2020-07-28,30.559999465942383
2020-07-29,30.559999465942383
2020-07-30,30.559999465942383
2020-07-31,30.559999465942383
2020-08-03,30.100000381469727
2020-08-04,30.391000747680664
2020-08-05,31.06999969482422
2020-08-06,30.760000228881836
2020-08-07,31.149999618530273
2020-08-10,31.149999618530273
2020-08-11,31.94499969482422
2020-08-12,31.94499969482422
2020-08-13,31.739999771118164
2020-08-14,31.739999771118164
2020-08-17,31.530000686645508
2020-08-18,31.530000686645508
2020-08-19,31.530000686645508
2020-08-20,31.530000686645508
2020-08-21,30.520999908447266
2020-08-24,31.351999282836914
2020-08-25,31.34000015258789
2020-08-26,31.34000015258789
2020-08-27,31.15999984741211
2020-08-28,31.479999542236328
2020-08-31,31.479999542236328
2020-09-01,31.3700008392334
2020-09-02,31.3700008392334
2020-09-03,31.440000534057617
2020-09-04,31.209999084472656
2020-09-08,30.559999465942383
2020-09-09,30.670000076293945
2020-09-10,30.6299991607666
2020-09-11,30.329999923706055
2020-09-14,31.031999588012695
2020-09-15,31.031999588012695
2020-09-16,31.031999588012695
2020-09-17,31.031999588012695
2020-09-18,31.06999969482422
2020-09-21,29.719999313354492
2020-09-22,29.719999313354492
2020-09-23,29.719999313354492
2020-09-24,28.663999557495117
2020-09-25,28.663999557495117
2020-09-28,28.663999557495117
2020-09-29,28.663999557495117
2020-09-30,29.68199920654297
2020-10-01,29.68199920654297
2020-10-02,29.68199920654297
2020-10-05,29.68199920654297
2020-10-06,29.94099998474121
