,BANX
2017-04-19,20.0
2017-04-20,20.06999969482422
2017-04-21,20.079999923706055
2017-04-24,19.979999542236328
2017-04-25,19.979999542236328
2017-04-26,19.90999984741211
2017-04-27,20.079999923706055
2017-04-28,19.969999313354492
2017-05-01,19.969999313354492
2017-05-02,20.0
2017-05-03,20.010000228881836
2017-05-04,19.90999984741211
2017-05-05,20.139999389648438
2017-05-08,19.969999313354492
2017-05-09,19.8799991607666
2017-05-10,19.979999542236328
2017-05-11,19.90999984741211
2017-05-12,19.90999984741211
2017-05-15,20.079999923706055
2017-05-16,20.010000228881836
2017-05-17,19.959999084472656
2017-05-18,19.979999542236328
2017-05-19,20.0
2017-05-22,19.969999313354492
2017-05-23,19.969999313354492
2017-05-24,19.979999542236328
2017-05-25,20.0
2017-05-26,19.959999084472656
2017-05-30,19.81999969482422
2017-05-31,20.0
2017-06-01,19.989999771118164
2017-06-02,19.899999618530273
2017-06-05,19.989999771118164
2017-06-06,20.0
2017-06-07,20.0
2017-06-08,20.049999237060547
2017-06-09,19.969999313354492
2017-06-12,19.950000762939453
2017-06-13,20.0
2017-06-14,20.139999389648438
2017-06-15,20.209999084472656
2017-06-16,19.920000076293945
2017-06-19,19.920000076293945
2017-06-20,19.969999313354492
2017-06-21,20.010000228881836
2017-06-22,19.979999542236328
2017-06-23,19.950000762939453
2017-06-26,20.1200008392334
2017-06-27,20.010000228881836
2017-06-28,20.280000686645508
2017-06-29,20.200000762939453
2017-06-30,20.399999618530273
2017-07-03,20.219999313354492
2017-07-05,20.40999984741211
2017-07-06,20.0
2017-07-07,20.110000610351562
2017-07-10,20.229999542236328
2017-07-11,20.059999465942383
2017-07-12,20.100000381469727
2017-07-13,20.299999237060547
2017-07-14,20.31999969482422
2017-07-17,20.489999771118164
2017-07-18,20.5
2017-07-19,20.5
2017-07-20,20.5
2017-07-21,20.280000686645508
2017-07-24,20.459999084472656
2017-07-25,20.600000381469727
2017-07-26,20.549999237060547
2017-07-27,20.399999618530273
2017-07-28,20.59000015258789
2017-07-31,20.40999984741211
2017-08-01,20.540000915527344
2017-08-02,20.56999969482422
2017-08-03,20.260000228881836
2017-08-04,20.399999618530273
2017-08-07,20.579999923706055
2017-08-08,20.579999923706055
2017-08-09,20.530000686645508
2017-08-10,20.239999771118164
2017-08-11,20.299999237060547
