,FFWM
2019-01-23,14.199999809265137
2019-01-24,14.149999618530273
2019-01-25,14.4399995803833
2019-01-28,14.579999923706055
2019-01-29,14.520000457763672
2019-01-30,14.359999656677246
2019-01-31,14.529999732971191
2019-02-01,14.5600004196167
2019-02-04,14.670000076293945
2019-02-05,14.720000267028809
2019-02-06,14.680000305175781
2019-02-07,15.010000228881836
2019-02-08,14.720000267028809
2019-02-11,14.869999885559082
2019-02-12,14.670000076293945
2019-02-13,14.680000305175781
2019-02-14,14.529999732971191
2019-02-15,14.829999923706055
2019-02-19,15.010000228881836
2019-02-20,15.5
2019-02-21,15.3100004196167
2019-02-22,15.550000190734863
2019-02-25,15.600000381469727
2019-02-26,15.289999961853027
2019-02-27,15.5
2019-02-28,15.25
2019-03-01,15.479999542236328
2019-03-04,15.399999618530273
2019-03-05,15.319999694824219
2019-03-06,15.010000228881836
2019-03-07,14.510000228881836
2019-03-08,14.479999542236328
2019-03-11,14.5
2019-03-12,14.399999618530273
2019-03-13,14.539999961853027
2019-03-14,14.420000076293945
2019-03-15,14.289999961853027
2019-03-18,14.470000267028809
2019-03-19,13.859999656677246
2019-03-20,13.529999732971191
2019-03-21,13.699999809265137
2019-03-22,13.1899995803833
2019-03-25,13.180000305175781
2019-03-26,13.390000343322754
2019-03-27,13.460000038146973
2019-03-28,13.739999771118164
2019-03-29,13.569999694824219
2019-04-01,13.789999961853027
2019-04-02,13.819999694824219
2019-04-03,13.869999885559082
2019-04-04,14.15999984741211
2019-04-05,14.25
2019-04-08,14.100000381469727
2019-04-09,13.770000457763672
2019-04-10,13.930000305175781
2019-04-11,14.039999961853027
2019-04-12,14.09000015258789
2019-04-15,13.899999618530273
2019-04-16,14.149999618530273
2019-04-17,14.1899995803833
2019-04-18,13.890000343322754
2019-04-22,13.670000076293945
2019-04-23,14.0600004196167
2019-04-24,13.949999809265137
2019-04-25,14.100000381469727
2019-04-26,14.100000381469727
2019-04-29,14.65999984741211
2019-04-30,14.210000038146973
2019-05-01,14.319999694824219
2019-05-02,14.569999694824219
2019-05-03,14.899999618530273
2019-05-06,14.75
2019-05-07,14.430000305175781
2019-05-08,14.300000190734863
2019-05-09,14.239999771118164
2019-05-10,14.3100004196167
