,CCLP
2017-01-25,12.800000190734863
2017-01-26,12.699999809265137
2017-01-27,12.670000076293945
2017-01-30,11.800000190734863
2017-01-31,11.779999732971191
2017-02-01,11.899999618530273
2017-02-02,12.0
2017-02-03,11.989999771118164
2017-02-06,11.970000267028809
2017-02-07,11.720000267028809
2017-02-08,11.600000381469727
2017-02-09,11.949999809265137
2017-02-10,11.970000267028809
2017-02-13,11.9399995803833
2017-02-14,12.289999961853027
2017-02-15,11.84000015258789
2017-02-16,11.350000381469727
2017-02-17,11.170000076293945
2017-02-21,10.779999732971191
2017-02-22,10.699999809265137
2017-02-23,10.5600004196167
2017-02-24,10.760000228881836
2017-02-27,10.829999923706055
2017-02-28,11.109999656677246
2017-03-01,10.90999984741211
2017-03-02,10.239999771118164
2017-03-03,10.0
2017-03-06,9.930000305175781
2017-03-07,9.75
2017-03-08,9.449999809265137
2017-03-09,9.270000457763672
2017-03-10,9.199999809265137
2017-03-13,9.1899995803833
2017-03-14,8.6899995803833
2017-03-15,9.510000228881836
2017-03-16,9.15999984741211
2017-03-17,9.59000015258789
2017-03-20,9.8100004196167
2017-03-21,9.229999542236328
2017-03-22,8.960000038146973
2017-03-23,9.279999732971191
2017-03-24,9.029999732971191
2017-03-27,9.050000190734863
2017-03-28,9.09000015258789
2017-03-29,9.539999961853027
2017-03-30,9.4399995803833
2017-03-31,9.800000190734863
2017-04-03,9.699999809265137
2017-04-04,9.579999923706055
2017-04-05,9.300000190734863
2017-04-06,9.3100004196167
2017-04-07,9.619999885559082
2017-04-10,9.779999732971191
2017-04-11,9.949999809265137
2017-04-12,9.84000015258789
2017-04-13,9.579999923706055
2017-04-17,9.619999885559082
2017-04-18,9.84000015258789
2017-04-19,9.65999984741211
2017-04-20,9.65999984741211
2017-04-21,9.3100004196167
2017-04-24,8.350000381469727
2017-04-25,8.5600004196167
2017-04-26,8.319999694824219
2017-04-27,8.220000267028809
2017-04-28,8.100000381469727
2017-05-01,7.760000228881836
2017-05-02,7.590000152587891
2017-05-03,7.199999809265137
2017-05-04,6.949999809265137
2017-05-05,7.0
2017-05-08,6.820000171661377
2017-05-09,6.510000228881836
2017-05-10,7.03000020980835
2017-05-11,6.940000057220459
2017-05-12,6.929999828338623
2017-05-15,6.78000020980835
2017-05-16,6.400000095367432
2017-05-17,6.099999904632568
2017-05-18,6.159999847412109
2017-05-19,6.349999904632568
2017-05-22,5.980000019073486
2017-05-23,5.820000171661377
2017-05-24,5.710000038146973
2017-05-25,5.71999979019165
2017-05-26,5.809999942779541
2017-05-30,5.599999904632568
2017-05-31,5.5
2017-06-01,5.480000019073486
2017-06-02,5.070000171661377
2017-06-05,4.960000038146973
2017-06-06,4.880000114440918
2017-06-07,4.949999809265137
2017-06-08,5.199999809265137
2017-06-09,5.420000076293945
2017-06-12,5.400000095367432
2017-06-13,5.360000133514404
2017-06-14,5.0
2017-06-15,4.710000038146973
2017-06-16,4.71999979019165
2017-06-19,4.46999979019165
2017-06-20,4.559999942779541
2017-06-21,4.369999885559082
2017-06-22,4.489999771118164
2017-06-23,4.389999866485596
2017-06-26,4.260000228881836
2017-06-27,4.199999809265137
2017-06-28,4.449999809265137
2017-06-29,4.559999942779541
2017-06-30,4.849999904632568
2017-07-03,5.099999904632568
2017-07-05,4.710000038146973
2017-07-06,4.599999904632568
2017-07-07,4.510000228881836
2017-07-10,4.849999904632568
2017-07-11,4.510000228881836
2017-07-12,4.659999847412109
2017-07-13,5.050000190734863
2017-07-14,5.150000095367432
2017-07-17,5.099999904632568
2017-07-18,5.050000190734863
2017-07-19,5.159999847412109
2017-07-20,5.199999809265137
2017-07-21,5.480000019073486
2017-07-24,5.25
2017-07-25,5.25
2017-07-26,5.320000171661377
2017-07-27,5.099999904632568
2017-07-28,4.96999979019165
2017-07-31,4.920000076293945
2017-08-01,4.699999809265137
2017-08-02,4.690000057220459
2017-08-03,4.650000095367432
2017-08-04,4.46999979019165
2017-08-07,4.550000190734863
2017-08-08,4.940000057220459
2017-08-09,4.599999904632568
2017-08-10,4.550000190734863
2017-08-11,4.260000228881836
2017-08-14,4.449999809265137
2017-08-15,4.679999828338623
2017-08-16,4.570000171661377
2017-08-17,4.449999809265137
2017-08-18,4.570000171661377
2017-08-21,4.550000190734863
2017-08-22,4.599999904632568
2017-08-23,4.550000190734863
2017-08-24,4.679999828338623
2017-08-25,4.690000057220459
2017-08-28,4.650000095367432
